Acronym;Description
FES;global experiment name
FESGAIT;subFES
FSL;subFES
BB; global experiment name Brain + Brain
BMIVR;global experiment name
SLC;subBMIVR
SSL;subBMIVR
HANG;global experiment name
HANGA;subHANG HangingA experiment
HANGB;subHANG HangingB experiment
LFORCE;subHANG LForce experiment
STAB;global experiment name
RAWDATA;file type code generated during eperiment but not processed
TEST;subRAWDATA data used just for test purposes
ANALYSIS_CODE;file type
UTILITY_CODE;file type code to do things which might be useful
LOGBOOK;file type logBook
DOC;file type documentation
NOTES;file type usually .txt with quick important notes
CONFIG;file type used to load configurations on a software
HEADER;file type header
ZZNOTAG;tag to fill blank spaces
